station,lat,lon,hp,country,fog,visibility,datetime
BOGUCAR,4993,4056,83.57,Russian Federation,45,500 m,2025112321
KURSK,5176,3616,247.25,Russian Federation,45,200 m,2025112321
KUCHING,148,11033,27,Malaysia,46,600 m,2025112321
CRNI VRH,4411,2195,1039,Serbia,49,50 m,2025112321
KOPAONIK,4328,2080,1713,Serbia,45,200 m,2025112321
NAMTSY,6273,12966,89.76,Russian Federation,44,200 m,2025112321
KOZ'MODEM'JANSK,5633,4658,107.3,Russian Federation,49,500 m,2025112321
NETROKONA SADAR,2488,9071,13,Bangladesh,40,900 m,2025112321
SREDNIKAN,6245,15231,260,Russian Federation,49,500 m,2025112321
SKYROS (AIRPORT),3895,2448,23.45,Greece,41,,2025112321
KAMENNAJA STEP',5105,4070,194,Russian Federation,45,500 m,2025112321
NAMPO,3871,12538,47,Democratic People's Republic of Korea,47,below 100 m,2025112321
BHUBANESHWAR,2025,8583,49.4,India,40,500 m,2025112321
REYKJAVIK (4030-0),6413,-31729,61,Iceland,11,40 km,2025112321
YOUYANG,2883,10877,827.7,China,B46,100 m,2025112321
PONYRI,5231,3630,250.9,Russian Federation,45,500 m,2025112321
KOTEL'NIKOVO,4763,4315,46.94,Russian Federation,45,500 m,2025112321
MOZYR,5203,2918,189.52,Belarus,45,200 m,2025112321
NIZHNIJ NOVGOROD,5626,4400,157.3,Russian Federation,45,500 m,2025112321
BUDENNOVSK,4478,4413,135.87,Russian Federation,45,50 m,2025112321
MOROZOVSK,4835,4186,89.76,Russian Federation,45,500 m,2025112321
UTTA,4636,4601,-7.05,Russian Federation,45,500 m,2025112321
URJUPINSK,5080,4200,105.65,Russian Federation,43,500 m,2025112321
PIRLANGIMPI,-1140,13041,19.3,Australia,41,,2025112321
MILLEROVO,4893,4038,155.07,Russian Federation,45,500 m,2025112321
KAMENNAJA STEP',5105,4070,194,Russian Federation,43,500 m,2025112318
RASHT (40719-0),3731,4961,-9,"Iran, Islamic Republic of",11,600 m,2025112318
OKTYABRSKY GORODOK,5163,4545,200.9,Russian Federation,45,500 m,2025112318
SREDNIKAN,6245,15231,260,Russian Federation,49,500 m,2025112318
NAMTSY,6273,12966,89.76,Russian Federation,44,200 m,2025112318
KOPAONIK,4328,2080,1713,Serbia,45,100 m,2025112318
KURSK,5176,3616,247.25,Russian Federation,45,200 m,2025112318
BOKOVSKAJA,4921,4183,91.12,Russian Federation,45,500 m,2025112318
"REVELSTOKE A, BC (71685-0)",5096,24182,444.7,Canada,41,16 km,2025112318
"MEDFORD/MEDFORD-JACKSON COUNTY, OR.",4236,23714,398.9,United States of America,41,800 m,2025112318
MAE HONG SON,1928,9796,274.2,Thailand,47,800 m,2025112318
MOZYR,5203,2918,189.52,Belarus,47,600 m,2025112318
KOTEL'NIKOVO,4763,4315,46.94,Russian Federation,45,500 m,2025112318
UTTA,4636,4601,-7.05,Russian Federation,44,500 m,2025112318
URJUPINSK,5080,4200,105.65,Russian Federation,45,500 m,2025112318
